arm,video,n_questions,gold_at_4_rate,mIoP,mIoU,delta_gold_at_4_vs_A,delta_mIoP_vs_A,delta_mIoU_vs_A
A,3026084730,8,0.125,0.023071022727272742,0.01695293842582543,0.0,0.0,0.0
A,3046900922,9,0.6666666666666666,0.33867845117845125,0.19543544850366162,0.0,0.0,0.0
A,3049351381,2,0.5,0.5,0.30985915492957733,0.0,0.0,0.0
A,3060478605,1,0.0,0.0,0.0,0.0,0.0,0.0
A,3063380173,5,0.8,0.1720454545454546,0.16403033586132182,0.0,0.0,0.0
A,3078294001,7,0.5714285714285714,0.3280032467532467,0.2502706962111031,0.0,0.0,0.0
A,3105728894,6,0.3333333333333333,0.21228914141414137,0.15016618135404206,0.0,0.0,0.0
A,3107742409,3,0.0,0.0,0.0,0.0,0.0,0.0
A,3112351937,3,1.0,0.32286785379568883,0.3228678537956888,0.0,0.0,0.0
A,3121571439,7,0.7142857142857143,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0
A,3131380536,4,0.75,0.5,0.09672312504768447,0.0,0.0,0.0
A,3145698830,10,0.3,0.17423181818181818,0.11888666878972057,0.0,0.0,0.0
A,3151715056,3,0.0,0.06101262626262638,0.027131430393804997,0.0,0.0,0.0
A,3155382178,9,0.6666666666666666,0.38132575757575765,0.2720769499959357,0.0,0.0,0.0
A,3158022797,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
A,3164519967,6,0.5,0.27270075757575757,0.13382958988530405,0.0,0.0,0.0
A,3171006258,5,0.6,0.33327272727272744,0.0725946767545069,0.0,0.0,0.0
A,3192668394,7,0.7142857142857143,0.5348701298701299,0.20995856227270654,0.0,0.0,0.0
A,3194558043,1,0.0,0.0,0.0,0.0,0.0,0.0
A,3198533789,2,0.0,0.0,0.0,0.0,0.0,0.0
A,3206694342,3,0.0,0.0,0.0,0.0,0.0,0.0
A,3218498932,7,0.8571428571428571,0.34054587808854025,0.22088325289085975,0.0,0.0,0.0
A,3233088823,3,0.6666666666666666,0.4828787878787879,0.24641451674283932,0.0,0.0,0.0
A,3261079025,7,0.42857142857142855,0.39945454545454545,0.29139200384920366,0.0,0.0,0.0
A,3263908208,7,1.0,0.8685064935064934,0.3086435266452637,0.0,0.0,0.0
A,3270490566,3,0.6666666666666666,0.20818181818181827,0.192760942760943,0.0,0.0,0.0
A,3303565503,7,0.7142857142857143,0.2397792207792208,0.09747512708918896,0.0,0.0,0.0
A,3321261856,5,0.6,0.15302424242424245,0.08218140783943248,0.0,0.0,0.0
A,3322503255,6,0.3333333333333333,0.16666666666666666,0.030683403068340304,0.0,0.0,0.0
A,3340340268,8,0.0,0.03744318181818187,0.02293929267613481,0.0,0.0,0.0
A,3345608051,5,0.6,0.2,0.026993865030674878,0.0,0.0,0.0
A,3359075894,8,0.625,0.1056818181818182,0.09966997822536745,0.0,0.0,0.0
A,3372023610,6,0.5,0.16666666666666666,0.0520094562647754,0.0,0.0,0.0
A,3375218204,10,0.5,0.15984999999999996,0.0790469115451659,0.0,0.0,0.0
A,3376544720,8,0.375,0.26346946022727274,0.14960588811411155,0.0,0.0,0.0
A,3380344744,2,0.5,0.001181818181818052,0.00020241654210261849,0.0,0.0,0.0
A,3383804222,6,0.16666666666666666,0.06680871212121216,0.04429584981477997,0.0,0.0,0.0
A,3388598772,6,0.8333333333333334,0.577354797979798,0.449305229865635,0.0,0.0,0.0
A,3427674558,4,0.5,0.31204545454545474,0.3118297310674808,0.0,0.0,0.0
A,3429509208,10,0.7,0.4192509469696969,0.2865996736526391,0.0,0.0,0.0
A,3441428429,5,0.0,0.06604848484848477,0.030440490489092437,0.0,0.0,0.0
A,3445431963,4,0.5,0.091796875,0.03889557628648812,0.0,0.0,0.0
A,3455926688,3,1.0,1.0,0.26493017422680093,0.0,0.0,0.0
A,3456030972,5,0.4,0.35942727272727276,0.16203073286454103,0.0,0.0,0.0
A,3462517143,5,0.6,0.2933969696969698,0.17856715096208764,0.0,0.0,0.0
A,3477387686,6,0.3333333333333333,0.17945833333333353,0.1763945191572116,0.0,0.0,0.0
A,3508407941,4,0.75,0.575262784090909,0.3520822201983894,0.0,0.0,0.0
A,3508459605,11,0.18181818181818182,0.11492906336088149,0.09388328750044116,0.0,0.0,0.0
A,3524939594,8,1.0,0.39658735795454547,0.2963675823952982,0.0,0.0,0.0
